Year,State_Code,State_Abbr,County_Code,County_Name,Commodity_Code,Commodity_Name,Insurance_Plan,Stage_Code,Col_1,Col_2,Cause_Code,Cause_Name,Month_Code,Month_Name,Col_3,Policies_Earning_Premium,Policies_Indemnified,Net_Planted_Acres,Net_Endorsed_Acres,Liability,Total_Premium,Producer_Premium,Subsidy,State_Private_Subsidy,Additional_Subsidy,EFA_Premium_Discount,Net_Determined_Acres,Indemnity,Loss_Ratio
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,1,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,150,0,90000,10771,5857,4914,0,0,1952,150,58500,5.43
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,L,2,31,Excess Moisture/Precipitation/Rain                                                                  ,1,JAN,,1,1,67,0,47771,2866,967,1899,0,0,323,67,4581,1.6
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,R ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,38.8,0,20176,1994,863,1131,0,0,288,14.9,1863,0.93
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,L,1,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,3,3,102.4,0,40960,2549,859,1690,0,0,287,102.4,26624,10.44
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,L,2,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,,8,8,379,0,151600,9433,3182,6251,0,0,1062,379,98717,10.47
2000,12,FL,99,Palm Beach                    ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,1,1,36.7,0,19084,1886,816,1070,0,0,272,36.7,19084,10.12
2000,12,FL,99,Palm Beach                    ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,8,AUG,2000,1,1,0,0,901500,39955,23523,16432,0,0,7842,0,56833,1.42
2000,12,FL,99,Palm Beach                    ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,2000,1,1,0,0,262050,18882,11117,7765,0,0,3706,0,90609,4.8
2000,12,FL,99,Palm Beach                    ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,1999,1,1,0,0,1064024,58894,34673,24221,0,0,11559,0,284643,4.83
2000,12,FL,99,Palm Beach                    ,83,PEPPERS                       ,50,NULL,A,R ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,21.36666667,0,68053,7860,3401.333333,4458.666667,0,0,1134,13.8,8280,1.05
2000,12,FL,107,Putnam                        ,84,POTATOES                      ,86,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,6,6,754.42,0,1349632,135229.2,58519.6,76709.6,0,0,19507.7,805.87,620263.6,4.59
2000,12,FL,107,Putnam                        ,84,POTATOES                      ,86,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,2,2,121.05,0,180220,18022,7799.5,10222.5,0,0,2600,69.6,79512,4.41
2000,12,FL,107,Putnam                        ,9999,All Other Crops               ,50,NULL,A,1,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,124.1,0,74460,9650,5247,4403,0,0,1749,134.2,48399,5.02
2000,12,FL,107,Putnam                        ,9999,All Other Crops               ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,15.9,0,9540,954,519,435,0,0,173,15.9,6982,7.32
2000,12,FL,107,Putnam                        ,9999,All Other Crops               ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,72.7,0,43620,6281,3416,2865,0,0,1138,72.7,43620,6.94
2000,12,FL,109,St Johns                      ,41,CORN                          ,90,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,8,AUG,,1,1,34.87,0,856.9,173.8,0,173.8,0,0,0,34.87,66,0.38
2000,12,FL,109,St Johns                      ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,1,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,67.85,0,40710,5862.5,3186,2676.5,0,0,1063.5,127.9,42471,7.24
2000,12,FL,109,St Johns                      ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,2,2,111.45,0,66870,9629.5,5236,4393.5,0,0,1745.5,70.4,42240,4.39
2000,12,FL,113,Santa Rosa                    ,21,COTTON                        ,90,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,50.4,0,5204,576,0,576,0,0,0,50.4,4198,7.29
2000,12,FL,113,Santa Rosa                    ,41,CORN                          ,90,NULL,L,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,10,0,764,100,46,54,0,0,16,10,764,7.64
2000,12,FL,121,Suwannee                      ,41,CORN                          ,90,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,,1,1,38.8,0,1820,910,398,512,0,0,133,38.8,1400,1.54
2000,12,FL,133,Washington                    ,21,COTTON                        ,44,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,179.5,0,44269,9962,4775,5187,0,0,1592,179.5,38353,3.85
2000,12,FL,133,Washington                    ,41,CORN                          ,90,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,,1,1,103,0,2975,340,0,340,0,0,0,103,2975,8.75
2000,12,FL,133,Washington                    ,81,SOYBEANS                      ,90,NULL,A,R ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,47.7,0,4453,847,370,477,0,0,124,38.2,592,0.7
2001,12,FL,1,Alachua                       ,75,PEANUTS                       ,10,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,1913,0,551.75,30.25,0,30.25,0,0,0,6.1,115.5,3.82
2001,12,FL,1,Alachua                       ,75,PEANUTS                       ,10,NULL,C,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,1913,0,551.75,30.25,0,30.25,0,0,0,1.75,-94.5,-3.12
2001,12,FL,3,Baker                         ,9999,All Other Crops               ,30,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,6,JUN,,1,1,10.44,0,27493,1292,529,763,0,0,0,10.44,15390,11.91
2001,12,FL,9,Brevard                       ,9999,All Other Crops               ,90,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,,1,1,184,0,17653,1435,474,961,0,0,0,184,10373,7.23
2001,12,FL,11,Broward                       ,73,NURSERY (FG&C)                ,50,NULL,C,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,2001,1,1,0,0,7430.5,96.5,0,96.5,0,0,0,0,6284.5,65.12
2001,12,FL,11,Broward                       ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,2001,1,1,0,0,142541,5756,2360,3396,0,0,0,0,10759,1.87
2001,12,FL,11,Broward                       ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,  ,   ,,1,1,0,0,273214.8,10121.6,4150,5971.6,0,0,0,0,17182.4,1.7
2001,12,FL,11,Broward                       ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,2001,3,3,0,0,670168,28758,12194,16564,0,0,0,0,114979,4
2001,12,FL,11,Broward                       ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,2000,5,5,0,0,1569588,77849,32274,45575,0,0,0,0,223025,2.86
2001,12,FL,11,Broward                       ,73,NURSERY (FG&C)                ,50,NULL,A,  ,51,Flood                                                                                               ,11,NOV,2000,1,1,0,0,683037,25304,10375,14929,0,0,0,0,26815,1.06
2001,12,FL,11,Broward                       ,73,NURSERY (FG&C)                ,50,NULL,A,  ,51,Flood                                                                                               ,10,OCT,2000,2,2,0,0,1669025,50459,20690,29769,0,0,0,0,86622,1.72
2001,12,FL,13,Calhoun                       ,81,SOYBEANS                      ,90,NULL,A,R ,31,Excess Moisture/Precipitation/Rain                                                                  ,6,JUN,,1,1,83.15,0,6122.5,563.5,186,377.5,0,0,0,136.1,2004,3.56
2001,12,FL,13,Calhoun                       ,81,SOYBEANS                      ,90,NULL,A,P2,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,,1,1,264.1,0,12298,1768,583,1185,0,0,0,264.1,12298,6.96
2001,12,FL,13,Calhoun                       ,81,SOYBEANS                      ,90,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,6,JUN,,1,1,24.48,0,1967.2,152.1,50.1,102,0,0,0,24.48,1967.2,12.93
2001,12,FL,13,Calhoun                       ,81,SOYBEANS                      ,90,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,,1,1,9.15,0,332.45,40.87,0,40.87,0,0,0,9.15,200.08,4.9
2001,12,FL,21,Collier                       ,207,ORANGE TREES                  ,40,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,,1,1,6796,0,114852,2986,1224,1762,0,0,0,6796,114835,38.46
2001,12,FL,25,Dade                          ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,2,31,Excess Moisture/Precipitation/Rain                                                                  ,12,DEC,,1,1,238.55,0,242129,33777,13848.5,19928.5,0,0,0,244.9,200994,5.95
2001,12,FL,25,Dade                          ,44,FRESH MARKET SWEET CORN       ,50,NULL,A,1,31,Excess Moisture/Precipitation/Rain                                                                  ,12,DEC,,1,1,209.55,0,212694,29671,12165.5,17505.5,0,0,0,211.5,139590,4.7
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,8,AUG,2001,2,2,0,0,324187,16890,7047,9843,0,0,0,0,11223,0.66
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,C,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,2000,1,1,0,0,227425,7369,0,7369,0,0,0,0,53503,7.26
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,2001,3,3,0,0,2329243,121693,52709,68984,0,0,0,0,270523,2.22
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,2000,44,44,0,0,41286138,1842234,762988,1079246,0,0,0,0,7105081,3.86
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,7,JUL,2001,1,1,0,0,90000,2646,953,1693,0,0,0,0,9014,3.41
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,12,DEC,2000,1,1,0,0,857032,29061,11915,17146,0,0,0,0,118169,4.07
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,1,JAN,2001,2,2,0,0,753841,20542,7534,13008,0,0,0,0,302290,14.72
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,31,Excess Moisture/Precipitation/Rain                                                                  ,11,NOV,2000,1,1,0,0,412500,25046,11271,13775,0,0,0,0,52509,2.1
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,51,Flood                                                                                               ,10,OCT,2000,58,58,0,0,75094212,2869060,1140997,1728063,0,0,0,0,18351048,6.4
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,51,Flood                                                                                               ,1,JAN,2001,2,2,0,0,1682855,60228,24321,35907,0,0,0,0,622941,10.34
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,C,  ,51,Flood                                                                                               ,10,OCT,2000,5,5,0,0,2060794,66324,0,66324,0,0,0,0,327609,4.94
2001,12,FL,25,Dade                          ,73,NURSERY (FG&C)                ,50,NULL,A,  ,51,Flood                                                                                               ,9,SEP,2001,1,1,0,0,449447,13342,4403,8939,0,0,0,0,202267,15.16
2001,12,FL,25,Dade                          ,84,POTATOES                      ,86,NULL,C,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,12,DEC,,1,1,293,0,373322,24695,0,24695,0,0,0,293,298658,12.09
2001,12,FL,25,Dade                          ,84,POTATOES                      ,86,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,12,DEC,,6,6,1529.4,0,4381776,424055,171804,252251,0,0,0,1529.4,3505423,8.27
2001,12,FL,25,Dade                          ,84,POTATOES                      ,86,NULL,A,P2,31,Excess Moisture/Precipitation/Rain                                                                  ,11,NOV,,1,1,58,0,31176,9157,3022,6135,0,0,0,58,31176,3.4
2001,12,FL,25,Dade                          ,86,FRESH MARKET TOMATOES         ,50,NULL,A,R ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,1,1,22,0,81246,7434,3345,4089,0,0,0,22,2730,0.37
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,2,FEB,,1,1,103.75,0,122529,10844,4880,5964,0,0,0,189,114513,10.56
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,12,DEC,,7,7,449.4,0,504789,61991,27270.5,34720.5,0,0,0,472.3,207938,3.35
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,2,2,307.75,0,344613,38704,17092.5,21611.5,0,0,0,313.9,328966,8.5
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,35,0,41335,6386,2874,3512,0,0,0,35,12242,1.92
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,,1,1,141.2,0,166757,14758,6641,8117,0,0,0,141.2,106641,7.23
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,,1,1,47.5,0,48640,5618,2303.5,3314.5,0,0,0,57.6,58982,10.5
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,11,NOV,,1,1,7.7,0,8493,637,261,376,0,0,0,7.7,8493,13.33
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,4,APR,,2,2,197.4,0,225672,32969,14611.5,18357.5,0,0,0,187.3,98921,3
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,3,MAR,,1,1,61.8,0,58401,5238.5,1886,3352.5,0,0,0,82.4,77868,14.86
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,H ,31,Excess Moisture/Precipitation/Rain                                                                  ,10,OCT,,3,3,625.35,0,691457,85327,36862.5,48464.5,0,0,0,619.2,434664,5.09
2001,12,FL,25,Dade                          ,105,FRESH MARKET BEANS            ,50,NULL,A,UH,31,Excess Moisture/Precipitation/Rain                                                                  ,12,DEC,,4,4,345.94,0,401804.1,56571.7,25340.7,31231,0,0,0,323.04,375230.1,6.63
